Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Video,Thumbnail,Order
Air - Playground Love,air---playground-love,65a9d09d3d353c83901ba947,65a9afbe5531aa55cc1123a7,65a9d6239068940f61673417,Fri Jan 19 2024 01:53:39 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:42:12 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900405592?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9d89469daf6c1b2c09c6b_vumbnail%20(2).jpg,3
Alan Parsons - Sirius,alan-parsons---sirus,65a9d09d3d353c83901ba947,65a9afbe5531aa55cc1123a7,65a9e048a9262571eecaea32,Fri Jan 19 2024 02:36:56 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:47:13 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900413342?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9e093a25ab3de7a747dc5_vumbnail%20(14).jpg,8
BMY,bmy,65a9d09d3d353c83901ba947,65a9afbe5531aa55cc1123a7,65a9dea99962ee2c0673702f,Fri Jan 19 2024 02:30:01 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:48:52 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900407166?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9dea77764605abd743481_vumbnail%20(7).jpg,16
Coheed,coheed,65a9d09d3d353c83901ba947,65a9afbe5531aa55cc1123a7,65a9dfba64c82a297d161000,Fri Jan 19 2024 02:34:34 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:00 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900407145?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9dfb98e9e98dcc516d5c0_vumbnail%20(11).jpg,17
Coheed - NWFT,coheed---nwft,65a9d09d3d353c83901ba947,65a9afbe5531aa55cc1123a7,65a9e00ef88a7bed8ea2341e,Fri Jan 19 2024 02:35:58 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:06 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900413297?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9e00d778b7bf02d5872e9_vumbnail%20(13).jpg,18
Ghost,ghost,65a9d09d3d353c83901ba947,65a9afbe5531aa55cc1123a7,65a9d5aa768bf69053c77c29,Fri Jan 19 2024 01:51:38 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:42:40 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900407297?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9d90f0844e729d3dfde25_vumbnail%20(3).jpg,4
Hotel California,hotel-california,65a9d09d3d353c83901ba947,65a9afbe5531aa55cc1123a7,65a9d5cb473d3cc4a5788d32,Fri Jan 19 2024 01:52:11 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:42:03 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900411266?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9d860d0107e155705d0ff_vumbnail%20(1).jpg,2
Pink Floyd - Money,pink-floyd---money,65a9d09d3d353c83901ba947,65a9afbe5531aa55cc1123a7,65a9df5a7764605abd748ff3,Fri Jan 19 2024 02:32:58 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:48:37 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900405085?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9df5562a2dc2984362f06_vumbnail%20(10).jpg,14
Pink Floyd - Time,pink-floyd---time,65a9d09d3d353c83901ba947,65a9afbe5531aa55cc1123a7,65a9d603090ed1540b457cbc,Fri Jan 19 2024 01:53:07 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:47:54 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900405096?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9d8197764605abd705f21_time.jpeg,5
Plural,plural,65a9d09d3d353c83901ba947,65a9afbe5531aa55cc1123a7,65a9df2207b099a1d3444647,Fri Jan 19 2024 02:32:02 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:48:28 GMT+0000 (Coordinated Universal Time),Fri Jan 19 2024 02:49:19 GMT+0000 (Coordinated Universal Time),https://vimeo.com/900405064?share=copy,https://uploads-ssl.webflow.com/65a9afbe5531aa55cc1123a8/65a9df1e768bf69053cd72a6_vumbnail%20(9).jpg,13
